Ticker,diferencia_cierre_vs_apertura,nombre_holding,activity_act,activity_porc,Adj Close,Operacion_insider,insider_rating,ebitda,netIncome,eps_surprise,year,quarter,quarter - year
CBL,-2.5001392364501953,oc,1,0.0070999999999999,18.309860229492188,0,1.0,102352000.0,11813000.0,0.61,2023,4,2023-12-31
CBL,-2.559673309326172,oc,1,0.0070999999999999,21.850326538085938,0,1.0,102352000.0,11813000.0,0.61,2023,4,2023-12-31
CBL,-2.151748657226559,oc,0,0.0018,19.958251953125,0,1.0,85711000.0,4744000.0,0.0,2024,2,2024-06-30
CBL,-2.2164916992187536,oc,0,0.0018,19.55350875854492,0,0.0,85711000.0,4744000.0,0.0,2024,2,2024-06-30
CBL,-2.3656005859375,oc,0,0.0018,19.72439956665039,0,1.0,85711000.0,4744000.0,0.0,2024,2,2024-06-30
CBL,-2.4099674224853516,oc,0,0.0018,20.300031661987305,0,1.0,85711000.0,4744000.0,0.0,2024,2,2024-06-30
CBL,-1.9021720886230504,oc,0,0.2496999999999999,29.91782760620117,0,0.0,71324000.0,37978000.0,0.03,2024,4,2024-12-31
CBL,-1.659088134765625,oc,0,0.2496999999999999,28.05091094970703,0,0.0,71324000.0,37978000.0,0.03,2024,4,2024-12-31
CB,-1.565170288085909,BRK,1,1.0,205.4348297119141,0,1.0,2711000000.0,2043000000.0,0.51,2023,3,2023-09-30
CB,-1.565170288085909,BRK,1,1.0,205.4348297119141,0,0.0,2711000000.0,2043000000.0,0.51,2023,3,2023-09-30
CB,-11.5926513671875,BRK,1,1.0,200.3573455810547,0,1.0,2711000000.0,2043000000.0,0.51,2023,3,2023-09-30
CB,-7.5172882080078125,BRK,1,1.0,197.67271423339844,0,1.0,2711000000.0,2043000000.0,0.51,2023,3,2023-09-30
CB,-6.345016479492301,BRK,1,1.0,196.1649780273437,0,1.0,2711000000.0,2043000000.0,0.51,2023,3,2023-09-30
CB,-5.021331787109375,BRK,1,1.0,195.6786651611328,0,1.0,2711000000.0,2043000000.0,0.51,2023,3,2023-09-30
CB,-5.4713592529296875,BRK,1,1.0,209.2786407470703,0,1.0,2711000000.0,2043000000.0,0.51,2023,3,2023-09-30
CB,-5.474349975585852,BRK,1,1.4682,214.43565368652344,0,0.0,2869000000.0,3300000000.0,0.42,2023,4,2023-12-31
CB,-5.781814575195341,BRK,1,1.4682,213.9081878662109,0,1.0,2869000000.0,3300000000.0,0.42,2023,4,2023-12-31
CB,-4.572647094726534,BRK,1,0.2897,240.1573486328125,0,1.0,2894000000.0,2143000000.0,0.1,2024,1,2024-03-31
CB,-6.265853881835966,BRK,1,0.2897,242.8241424560547,0,1.0,2894000000.0,2143000000.0,0.1,2024,1,2024-03-31
CB,-6.26614379882821,BRK,1,0.2897,249.8538513183593,0,1.0,2894000000.0,2143000000.0,0.1,2024,1,2024-03-31
CB,-3.2212677001953978,BRK,1,0.2897,252.1087341308593,0,1.0,2894000000.0,2143000000.0,0.1,2024,1,2024-03-31
CB,-4.73699951171875,BRK,1,0.2897,254.26300048828125,0,0.0,2894000000.0,2143000000.0,0.1,2024,1,2024-03-31
CB,-3.787490844726591,BRK,1,0.2897,254.29249572753903,0,1.0,2894000000.0,2143000000.0,0.1,2024,1,2024-03-31
CB,-5.9752655029296875,BRK,1,0.0428,247.5247344970703,0,1.0,2968000000.0,2230000000.0,0.23,2024,2,2024-06-30
CB,-9.1014404296875,BRK,1,0.0428,260.5585632324219,0,1.0,2968000000.0,2230000000.0,0.23,2024,2,2024-06-30
CB,2.40521240234375,BRK,1,0.0428,269.8052062988281,0,1.0,2968000000.0,2230000000.0,0.23,2024,2,2024-06-30
CB,-5.352996826171875,BRK,1,0.0428,259.4469909667969,0,1.0,2968000000.0,2230000000.0,0.23,2024,2,2024-06-30
CB,-0.21807861328130684,BRK,1,0.0428,263.0419311523437,0,1.0,2968000000.0,2230000000.0,0.23,2024,2,2024-06-30
CCCS,0.07999992370605291,AC,1,1.0,10.920000076293944,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.07999992370605291,AC,1,1.0,10.920000076293944,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.07999992370605291,AC,1,1.0,10.920000076293944,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.07999992370605291,AC,1,1.0,10.920000076293944,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.3399991989135742,AC,1,1.0,11.859999656677246,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.3399991989135742,AC,1,1.0,11.859999656677246,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.3399991989135742,AC,1,1.0,11.859999656677246,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.3399991989135742,AC,1,1.0,11.859999656677246,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.3399991989135742,AC,1,1.0,11.859999656677246,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.3599996566772443,AC,1,1.0,12.170000076293944,0,0.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.3599996566772443,AC,1,1.0,12.170000076293944,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,-0.1800003051757848,AC,1,1.0,12.399999618530272,0,0.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,-0.15999984741210938,AC,1,1.0,12.119999885559082,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.20000076293945312,AC,1,1.0,11.890000343322754,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.08500003814697266,AC,1,1.0,11.9399995803833,0,0.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.05999946594238281,AC,1,1.0,11.9399995803833,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.05999946594238281,AC,1,1.0,11.9399995803833,0,1.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,0.05999946594238281,AC,1,1.0,11.9399995803833,0,0.0,45569000.0,-1739000.0,0.01,2024,1,2024-03-31
CCCS,-0.1700000762939453,AC,1,0.1165,11.800000190734863,0,0.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,-0.1700000762939453,AC,1,0.1165,11.800000190734863,0,1.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,-0.1700000762939453,AC,1,0.1165,11.800000190734863,0,1.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,0.05000019073486328,AC,1,0.1165,11.890000343322754,0,1.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
