Date,quarter - year,Ticker,diferencia_cierre_vs_apertura,nombre_holding,activity_act,activity_porc,Operacion_insider,resultado_operacion_insider,insider_rating,ebitda,netIncome,eps_surprise
03-01-2022,Q1 2022,AMT,-35.503936767578125,AC,0,0.0015,0,-9.0,1.0,1803400000.0,711700000.0,0.44
13-01-2022,Q1 2022,AMT,-30.885314941406307,AC,0,0.0015,0,-8.0,1.0,1803400000.0,711700000.0,0.44
14-01-2022,Q1 2022,AMT,-28.84857177734375,AC,0,0.0015,1,0.0,1.0,1803400000.0,711700000.0,0.44
04-02-2022,Q1 2022,AMT,-27.12677001953122,AC,0,0.0015,0,-7.0,1.0,1803400000.0,711700000.0,0.44
15-03-2022,Q1 2022,AMT,-24.76348876953125,AC,0,0.0015,0,-9.0,1.0,1803400000.0,711700000.0,0.44
21-04-2022,Q2 2022,AMT,-28.352020263671903,AC,0,0.0036,0,-33.0,1.0,2001400000.0,898200000.0,0.99
29-04-2022,Q2 2022,AMT,-32.973648071289006,AC,0,0.0036,1,0.0,1.0,2001400000.0,898200000.0,0.99
01-06-2022,Q2 2022,AMT,-28.387619018554688,AC,0,0.0036,0,-3.0,1.0,2001400000.0,898200000.0,0.99
15-06-2022,Q2 2022,AMT,-17.720993041992216,AC,0,0.0036,0,-3.0,1.0,2001400000.0,898200000.0,0.99
26-10-2022,Q4 2022,AMT,-15.389556884765625,AC,1,0.0029,1,0.0,1.0,359600000.0,-683800000.0,-2.51
28-10-2022,Q4 2022,AMT,-10.251647949218778,AC,1,0.0029,0,-2.0,1.0,359600000.0,-683800000.0,-2.51
02-11-2022,Q4 2022,AMT,-19.243057250976534,AC,1,0.0029,0,-15.0,1.0,359600000.0,-683800000.0,-2.51
21-11-2022,Q4 2022,AMT,-14.653060913085966,AC,1,0.0029,0,-4.0,1.0,359600000.0,-683800000.0,-2.51
12-12-2022,Q4 2022,AMT,-17.634521484375,AC,1,0.0029,0,-16.0,1.0,359600000.0,-683800000.0,-2.51
14-12-2022,Q4 2022,AMT,-21.837860107421875,AC,1,0.0029,0,-3.0,1.0,359600000.0,-683800000.0,-2.51
03-01-2023,Q1 2023,AMT,-16.4000244140625,AC,1,0.0008,0,-6.0,1.0,1502700000.0,335800000.0,-0.37
09-01-2023,Q1 2023,AMT,-18.98815917968753,AC,1,0.0008,0,-4.0,1.0,1502700000.0,335800000.0,-0.37
13-01-2023,Q1 2023,AMT,-14.952438354492188,AC,1,0.0008,0,-16.0,1.0,1502700000.0,335800000.0,-0.37
17-01-2023,Q1 2023,AMT,-21.55252075195304,AC,1,0.0008,0,-3.0,1.0,1502700000.0,335800000.0,-0.37
06-02-2023,Q1 2023,AMT,-15.849166870117188,AC,1,0.0008,0,-7.0,1.0,1502700000.0,335800000.0,-0.37
27-02-2023,Q1 2023,AMT,-19.002273559570312,AC,1,0.0008,0,-36.0,1.0,1502700000.0,335800000.0,-0.37
01-08-2023,Q3 2023,AMT,-11.953048706054688,AC,1,0.0034999999999999,0,-2.0,1.0,1943700000.0,586900000.0,0.13
03-08-2023,Q3 2023,AMT,-15.675872802734403,AC,1,0.0034999999999999,0,-6.0,1.0,1943700000.0,586900000.0,0.13
10-08-2023,Q3 2023,AMT,-12.393295288085938,AC,1,0.0034999999999999,0,-5.0,1.0,1943700000.0,586900000.0,0.13
15-08-2023,Q3 2023,AMT,-11.769363403320341,AC,1,0.0034999999999999,0,-2.0,1.0,1943700000.0,586900000.0,0.13
17-08-2023,Q3 2023,AMT,-12.8116455078125,AC,1,0.0034999999999999,0,-16.0,1.0,1943700000.0,586900000.0,0.13
02-10-2023,Q4 2023,AMT,-12.441680908203125,AC,1,0.0054,0,-2.0,1.0,1150800000.0,84900000.0,-0.76
16-10-2023,Q4 2023,AMT,-6.6202392578125,AC,1,0.0054,0,-2.0,1.0,1150800000.0,84900000.0,-0.76
09-11-2023,Q4 2023,AMT,-12.874420166015597,AC,1,0.0054,0,-7.0,1.0,1150800000.0,84900000.0,-0.76
